FIPSCode,CountyName,FFHO-Rate,FPOO-Rate,HIV-Rate,MedianHouseholdIncome
51001,Accomack,12.1,12.1,3.0,39040
51003,Albemarle,0.9,0.9,2.8,73132
51005,Alleghany,6.4,12.8,6.4,47037
51007,Amelia,7.7,0.0,7.7,56172
51009,Amherst,3.2,6.3,6.3,46497
51011,Appomattox,12.9,6.5,0.0,51431
51013,Arlington,6.1,4.8,13.5,108635
51015,Augusta,0.0,2.7,2.7,56784
51017,Bath,0.0,0.0,0.0,47059
51019,Bedford,1.3,2.6,2.6,55708
51021,Bland,0.0,0.0,0.0,44827
51023,Botetourt,3.0,6.0,3.0,68390
51025,Brunswick,6.2,0.0,18.5,39433
51027,Buchanan,0.0,13.5,0.0,31763
51029,Buckingham,0.0,0.0,23.5,42455
51031,Campbell,3.6,9.1,3.6,49935
51033,Caroline,13.3,16.6,6.6,55423
51035,Carroll,0.0,0.0,0.0,40390
51036,Charles City,14.1,0.0,0.0,56907
51037,Charlotte,0.0,0.0,8.2,38557
51041,Chesterfield,14.2,4.4,13.9,76260
51043,Clarke,20.9,0.0,13.9,76753
51045,Craig,19.4,0.0,0.0,48221
51047,Culpeper,28.0,6.0,8.0,67023
51049,Cumberland,10.4,0.0,10.4,42692
51051,Dickenson,0.0,40.1,13.4,32795
51053,Dinwiddie,7.1,3.6,7.1,54805
51057,Essex,9.0,9.0,18.0,50033
51059,Fairfax,5.5,3.0,10.0,115518
51061,Fauquier,26.1,13.0,7.2,91372
51063,Floyd,6.4,0.0,6.4,42670
51065,Fluvanna,0.0,3.8,0.0,70005
51067,Franklin,3.6,14.3,1.8,52424
51069,Frederick,17.8,11.8,1.2,69346
51071,Giles,0.0,11.9,0.0,51780
51073,Gloucester,18.8,5.4,0.0,64296
51075,Goochland,0.0,4.4,4.4,88815
51077,Grayson,0.0,6.6,0.0,36113
51079,Greene,0.0,0.0,0.0,66170
51081,Greensville,0.0,0.0,8.5,41539
51083,Halifax,0.0,5.7,17.1,39859
51085,Hanover,7.7,1.9,5.7,83405
51087,Henrico,10.7,3.4,14.4,66524
51089,Henry,1.9,7.8,1.9,36703
51091,Highland,0.0,0.0,0.0,42837
51093,Isle of Wight,8.2,10.9,2.7,70982
51095,James City,2.7,1.3,10.8,84035
51097,King and Queen,14.0,0.0,14.0,52115
51099,King George,15.4,7.7,7.7,80664
51101,King William,18.4,12.2,0.0,68053
51103,Lancaster,9.1,0.0,0.0,44941
51105,Lee,0.0,8.3,0.0,32466
51107,Loudoun,6.0,2.1,5.2,134609
51109,Louisa,8.5,0.0,0.0,52671
51111,Lunenburg,0.0,0.0,16.3,38313
51113,Madison,0.0,0.0,0.0,56774
51115,Mathews,0.0,0.0,0.0,59439
51117,Mecklenburg,6.5,6.5,3.2,45827
51119,Middlesex,0.0,9.3,0.0,49840
51121,Montgomery,6.1,5.1,5.1,51428
51125,Nelson,20.2,6.7,6.7,54188
51127,New Kent,4.7,0.0,4.7,84486
51131,Northampton,0.0,16.5,0.0,39348
51133,Northumberland,0.0,0.0,0.0,52957
51135,Nottoway,0.0,0.0,51.3,40514
51137,Orange,28.1,14.1,5.6,64656
51139,Page,0.0,12.7,4.2,45834
51141,Patrick,0.0,5.6,0.0,38539
51143,Pittsylvania,0.0,1.6,6.5,46192
51145,Powhatan,3.5,3.5,10.5,78047
51147,Prince Edward,13.0,4.3,8.6,41072
51149,Prince George,7.9,7.9,5.3,66775
51153,Prince William,8.1,4.8,9.9,97549
51155,Pulaski,0.0,23.4,0.0,49554
51157,Rappahannock,0.0,0.0,0.0,65278
51159,Richmond,0.0,0.0,57.0,45403
51161,Roanoke,11.7,4.3,3.2,62306
51163,Rockbridge,0.0,4.5,0.0,50570
51165,Rockingham,1.3,1.3,6.3,57655
51167,Russell,0.0,21.9,0.0,39003
51169,Scott,0.0,13.7,4.6,38612
51171,Shenandoah,6.9,6.9,2.3,53810
51173,Smyth,6.4,3.2,6.4,40140
51175,Southampton,11.1,0.0,11.1,49595
51177,Spotsylvania,17.4,5.3,4.5,81065
51179,Stafford,10.4,5.5,9.0,97607
51181,Surry,0.0,0.0,15.3,51810
51183,Sussex,17.4,0.0,8.7,41790
51185,Tazewell,2.4,11.9,0.0,38992
51187,Warren,12.8,17.9,5.1,65434
51191,Washington,1.8,1.8,1.8,44785
51193,Westmoreland,22.7,22.7,11.4,48983
51195,Wise,2.5,20.4,0.0,33810
51197,Wythe,3.4,20.7,10.3,47676
51199,York,8.8,1.5,4.4,87910
51510,Alexandria,0.6,4.5,27.0,87822
51520,Bristol,5.9,0.0,5.9,33659
51530,Buena Vista,0.0,0.0,0.0,38991
51540,Charlottesville,8.5,4.3,4.3,47977
51550,Chesapeake,14.3,4.2,13.4,71998
51570,Colonial Heights,11.3,0.0,0.0,52673
51580,Covington,0.0,0.0,0.0,37904
51590,Danville,7.2,9.5,19.1,35220
51595,Emporia,0.0,0.0,0.0,33499
51600,Fairfax,0.0,4.1,4.1,94701
51610,Falls Church,0.0,0.0,0.0,118035
51620,Franklin,0.0,0.0,12.0,40247
51630,Fredericksburg,28.3,10.6,10.6,53714
51640,Galax,0.0,0.0,0.0,35221
51650,Hampton,14.8,6.6,35.4,50294
51660,Harrisonburg,5.7,3.8,3.8,41636
51670,Hopewell,30.8,8.8,26.4,40126
51678,Lexington,0.0,14.2,0.0,45331
51680,Lynchburg,5.0,2.5,11.2,41586
51683,Manassas,14.5,9.6,4.8,72396
51685,Manassas Park,6.3,0.0,6.3,75994
51690,Martinsville,0.0,0.0,14.9,34262
51700,Newport News,13.2,11.0,15.9,50149
51710,Norfolk,24.1,9.0,31.8,45809
51720,Norton,0.0,25.9,0.0,30587
51730,Petersburg,31.4,18.8,34.5,34238
51735,Poquoson,25.0,8.3,0.0,90119
51740,Portsmouth,26.2,8.4,27.3,46617
51750,Radford,5.7,11.4,5.7,35655
51760,Richmond,30.0,9.0,27.3,42336
51770,Roanoke,7.0,4.0,8.0,38238
51775,Salem,15.7,3.9,7.8,57897
51790,Staunton,4.1,8.2,8.2,46237
51800,Suffolk,4.5,4.5,15.7,65025
51810,Virginia Beach,12.4,6.4,13.9,70596
51820,Waynesboro,0.0,0.0,4.6,41255
51830,Williamsburg,13.1,0.0,6.6,49231
51840,Winchester,29.1,14.5,7.3,46093
